k	y_sys	y_pred
0	-0.000000	-0.000000
1	0.000000	0.000000
2	2.000000	2.000000
3	3.800000	3.800000
4	3.395000	3.395000
5	2.983000	2.983000
6	2.569762	2.569762
7	2.160561	2.160561
8	1.760158	1.760158
9	3.372788	3.372788
10	2.802153	2.802153
11	2.246422	2.246422
12	1.711237	1.711237
13	1.201490	1.201490
14	0.721328	0.721328
15	0.274163	0.274163
16	-0.137302	-0.137302
17	-0.511048	-0.511048
18	-0.845703	-0.845703
19	-1.140504	-1.140504
20	-1.395253	-1.395253
21	-1.610272	-1.610272
22	-1.786348	-1.786348
23	-1.924688	-1.924688
24	-2.026865	-2.026865
25	-2.094765	-2.094765
26	-2.130539	-2.130539
27	-2.136552	-2.136552
28	-2.115332	-2.115332
29	-2.069526	-2.069526
30	-0.001860	-0.001860
31	1.884909	1.884909
32	1.583024	1.583024
33	1.287767	1.287767
34	1.002247	1.002247
35	0.729182	0.729182
36	0.470896	0.470896
37	0.229323	0.229323
38	0.006022	0.006022
39	-0.197816	-0.197816
40	1.618655	1.618655
41	3.255951	3.255951
42	4.709284	4.709284
43	5.976585	5.976585
44	7.058290	7.058290
45	7.957116	7.957116
46	8.677832	8.677832
47	9.227012	9.227012
48	9.612801	9.612801
49	9.844674	9.844674
50	9.933199	9.933199
51	9.889813	9.889813
52	9.726601	9.726601
53	9.456088	9.456088
54	9.091043	9.091043
55	8.644302	8.644302
56	6.128596	6.128596
57	3.756408	3.756408
58	1.544831	1.544831
59	-0.492544	-0.492544
60	-2.345491	-2.345491
61	-4.006987	-4.006987
62	-5.473015	-5.473015
63	-6.742352	-6.742352
64	-7.816343	-7.816343
65	-8.698656	-8.698656
66	-9.395033	-9.395033
67	-9.913039	-9.913039
68	-10.261807	-10.261807
69	-10.451785	-10.451785
70	-10.494492	-10.494492
71	-10.402281	-10.402281
72	-10.188111	-10.188111
73	-9.865329	-9.865329
74	-9.447473	-9.447473
75	-8.948087	-8.948087
76	-8.380546	-8.380546
77	-7.757908	-7.757908
78	-7.092777	-7.092777
79	-6.397185	-6.397185
80	-5.682492	-5.682492
81	-4.959304	-4.959304
82	-4.237404	-4.237404
83	-3.525703	-3.525703
84	-2.832204	-2.832204
85	-2.163983	-2.163983
86	-1.527182	-1.527182
87	-0.927012	-0.927012
88	-0.367768	-0.367768
89	0.147138	0.147138
90	0.615151	0.615151
91	1.034524	1.034524
92	1.404270	1.404270
93	3.724109	3.724109
94	5.794412	5.794412
95	7.611133	7.611133
96	9.173751	9.173751
97	10.484969	10.484969
98	11.550393	11.550393
99	12.378212	12.378212
100	12.978870	6.130348
