k	y_sys	y_pred
0	-0.000000	-0.000000
1	4.348615	4.348615
2	0.000000	0.000000
3	0.000000	0.000000
4	4.348615	4.348615
5	4.348615	4.348615
6	0.596046	0.596046
7	0.000000	0.000000
8	4.348615	4.348615
9	0.000000	0.000000
10	4.348615	4.348615
11	0.031933	0.031933
12	0.000000	0.000000
13	4.348615	4.348615
14	0.013265	0.013265
15	4.348615	4.348615
16	0.002998	0.002998
17	0.000000	0.000000
18	4.348615	4.348615
19	0.075404	0.075404
20	0.037492	0.037492
21	4.348615	4.348615
22	4.348615	4.348615
23	0.000000	0.000000
24	4.348615	4.348615
25	4.348615	4.348615
26	3.431912	3.431912
27	0.000000	0.000000
28	0.000000	0.000000
29	4.348615	4.348615
30	4.141919	4.141919
31	4.348615	4.348615
32	0.000000	0.000000
33	4.348615	4.348615
34	1.165483	1.165483
35	4.348615	4.348615
36	4.348615	4.348615
37	0.000000	0.000000
38	0.000000	0.000000
39	4.348615	4.348615
40	0.152291	0.152291
41	4.348615	4.348615
42	0.000000	0.000000
43	4.348615	4.348615
44	4.348615	4.348615
45	4.348615	4.348615
46	4.348615	4.348615
47	0.000000	0.000000
48	4.348615	4.348615
49	0.205910	0.205910
50	4.348615	4.348615
51	0.039228	0.039228
52	4.348615	4.348615
53	0.000000	0.000000
54	0.271518	0.271518
55	4.348615	4.348615
56	0.669857	0.669857
57	0.000000	0.000000
58	4.348615	4.348615
59	0.352530	0.352530
60	0.460497	0.460497
61	4.348615	4.348615
62	0.000000	0.000000
63	4.348615	4.348615
64	0.303694	0.303694
65	4.348615	4.348615
66	4.348615	4.348615
67	0.000000	0.000000
68	4.348615	4.348615
69	0.486086	0.486086
70	4.348615	4.348615
71	4.348615	4.348615
72	0.000000	0.000000
73	4.348615	4.348615
74	4.348615	4.348615
75	0.000000	0.000000
76	4.348615	4.348615
77	0.000000	0.000000
78	4.348615	4.348615
79	0.630677	0.630677
80	4.348615	4.348615
81	4.348615	4.348615
82	0.000000	0.000000
83	0.000000	0.000000
84	4.348615	4.348615
85	1.078927	1.078927
86	0.482742	0.482742
87	0.000000	0.000000
88	0.000000	0.000000
89	4.348615	4.348615
90	4.348615	4.348615
91	0.889392	0.889392
92	0.000000	0.000000
93	0.000000	0.000000
94	4.348615	4.348615
95	0.000000	0.000000
96	4.348615	4.348615
97	0.000000	0.000000
98	0.000000	0.000000
99	0.000000	0.000000
100	4.348615	-1.301656
