k	y_sys	y_pred
0	-0.000000	-0.000000
1	-3.920000	-3.920000
2	3.760000	3.760000
3	-3.920000	-3.920000
4	-3.920000	-3.920000
5	-3.920000	-3.920000
6	-3.920000	-3.920000
7	-3.920000	-3.920000
8	-3.920000	-3.920000
9	-3.920000	-3.920000
10	-3.920000	-3.920000
11	-3.920000	-3.920000
12	-3.920000	-3.920000
13	-3.920000	-3.920000
14	-3.920000	-3.920000
15	-3.920000	-3.920000
16	-3.920000	-3.920000
17	-3.920000	-3.920000
18	-3.920000	-3.920000
19	-3.920000	-3.920000
20	-3.920000	-3.920000
21	-3.920000	-3.920000
22	-3.920000	-3.920000
23	3.760000	3.760000
24	-3.920000	-3.920000
25	-3.920000	-3.920000
26	-3.920000	-3.920000
27	-3.920000	-3.920000
28	-3.920000	-3.920000
29	-3.920000	-3.920000
30	-3.920000	-3.920000
31	-3.920000	-3.920000
32	-3.920000	-3.920000
33	-3.920000	-3.920000
34	-3.920000	-3.920000
35	-3.920000	-3.920000
36	-3.920000	-3.920000
37	-3.920000	-3.920000
38	-3.920000	-3.920000
39	3.760000	3.760000
40	-3.920000	-3.920000
41	3.760000	3.760000
42	3.760000	3.760000
43	3.760000	3.760000
44	-3.920000	-3.920000
45	3.760000	3.760000
46	-3.920000	-3.920000
47	-3.920000	-3.920000
48	-3.920000	-3.920000
49	-3.920000	-3.920000
50	-3.920000	-3.920000
51	3.760000	3.760000
52	-3.920000	-3.920000
53	-3.920000	-3.920000
54	-3.920000	-3.920000
55	-3.920000	-3.920000
56	-3.920000	-3.920000
57	-3.920000	-3.920000
58	-3.920000	-3.920000
59	-3.920000	-3.920000
60	-3.920000	-3.920000
61	1.153402	1.153402
62	-3.920000	-3.920000
63	3.760000	3.760000
64	-3.920000	-3.920000
65	-3.920000	-3.920000
66	-3.920000	-3.920000
67	3.760000	3.760000
68	-3.920000	-3.920000
69	-3.920000	-3.920000
70	-3.920000	-3.920000
71	0.678417	0.678417
72	-3.920000	-3.920000
73	-3.920000	-3.920000
74	-3.920000	-3.920000
75	-3.920000	-3.920000
76	-3.920000	-3.920000
77	-3.920000	-3.920000
78	-3.920000	-3.920000
79	-3.920000	-3.920000
80	-3.920000	-3.920000
81	-3.920000	-3.920000
82	-3.920000	-3.920000
83	-3.920000	-3.920000
84	-3.920000	-3.920000
85	-3.920000	-3.920000
86	-3.920000	-3.920000
87	-3.920000	-3.920000
88	-3.920000	-3.920000
89	-3.920000	-3.920000
90	-3.920000	-3.920000
91	-3.920000	-3.920000
92	-3.920000	-3.920000
93	-3.920000	-3.920000
94	-3.920000	-3.920000
95	-3.920000	-3.920000
96	3.760000	3.760000
97	3.760000	3.760000
98	3.760000	3.760000
99	3.760000	3.760000
100	-3.920000	3.760000
